/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): ICP-MS data for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS21PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923194, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	Geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 32.344970 * LONGITUDE: 31.650080
	DATE/TIME START: 2004-06-29T07:59:57 * DATE/TIME END: 2004-06-29T07:59:57
	MINIMUM DEPTH, sediment/rock: 0.103 m * MAXIMUM DEPTH, sediment/rock: 6.933 m
Event(s):	MS21PC (MIMES_43) * LATITUDE: 32.344970 * LONGITUDE: 31.650080 * DATE/TIME: 2004-06-29T07:59:57 * ELEVATION: -1022.0 m * LOCATION: Osiris & Amon Mud Volcano * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.researchvessels.org/ship_info_display.asp?shipID=100) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS21PC Bottom
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	540 data points
*/
Age [ka BP]	Depth sed [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
12.064	1.253	78767.490	219.460	0.824	7414.880	1.756
12.436	1.303	77936.935	214.760	0.826	7143.615	1.737
12.789	1.353	78072.660	200.790	0.824	7114.830	1.686
76.407	5.813	85334.350	177.730	0.920	6666.350	2.456
77.355	5.853	87114.800	164.400	0.863	6695.490	2.538
78.285	5.893	85455.230	165.350	1.118	6547.320	3.364
78.743	5.913	81847.100	174.230	1.267	6303.240	3.653
79.198	5.933	83561.030	164.690	0.940	6426.230	3.233
80.051	5.973	85384.020	158.030	1.101	6417.720	3.423
80.465	5.993	84716.720	182.630	1.304	6348.090	3.494
80.901	6.033	86782.340	212.570	1.862	6427.060	4.753
81.239	6.073	86072.085	234.600	2.340	6300.815	5.013
81.409	6.093	82566.420	252.980	4.048	6075.420	5.964
81.580	6.113	84226.070	284.810	4.896	6096.010	5.922
81.666	6.123	83324.540	368.670	7.041	5980.710	6.633
81.752	6.133	81131.590	410.550	12.300	5834.060	7.385
81.838	6.143	83007.780	457.940	23.559	5969.800	8.929
81.925	6.153	80729.020	442.030	30.943	5787.320	9.130
82.095	6.173	78800.930	411.160	39.851	5626.760	8.736
82.181	6.183	84689.850	383.260	46.930	6026.800	9.103
82.437	6.213	78971.640	396.420	61.927	5678.690	9.467
82.566	6.228	78512.140	379.940	77.715	5622.720	9.576
82.740	6.248	83350.420	352.560	65.603	5989.250	9.002
82.915	6.268	82278.650	405.590	77.454	5942.080	10.642
83.048	6.283	84549.020	394.930	80.437	6039.350	11.142
83.136	6.293	80363.750	363.640	69.714	5780.000	9.818
83.267	6.308	81159.620	341.000	59.957	5898.720	9.041
83.311	6.313	81277.090	369.580	56.928	5840.100	9.733
83.488	6.333	84764.010	416.580	52.234	6096.020	8.666
83.576	6.343	83370.920	485.720	63.644	5945.170	10.043
83.619	6.348	83203.200	454.620	57.950	5964.250	10.199
83.662	6.353	85003.630	404.720	58.904	6169.520	10.235
83.834	6.373	80303.000	395.340	65.289	5779.770	9.820
83.964	6.388	83879.820	407.960	77.679	6105.640	12.493
84.007	6.393	85461.200	420.290	72.999	6164.880	11.091
84.226	6.418	83834.020	365.390	44.991	6121.170	8.091
84.357	6.433	83100.450	402.780	59.536	6013.490	8.364
84.444	6.443	86330.890	355.940	60.610	6185.070	8.085
84.529	6.453	87070.590	316.860	64.986	6243.660	8.336
84.701	6.473	84379.790	375.780	53.527	6085.860	9.499
84.963	6.503	81648.885	392.560	51.809	5919.570	8.850
85.051	6.513	82661.380	386.640	54.151	5971.910	8.577
85.230	6.533	86325.990	351.960	38.422	6203.960	7.547
85.408	6.553	85353.100	297.430	33.251	6191.550	6.895
85.581	6.573	87350.510	322.910	8.162	6462.650	5.225
85.754	6.593	82524.710	234.690	7.480	6184.620	3.750
85.927	6.613	82060.280	218.780	4.616	6125.400	3.222
86.100	6.633	80826.580	207.080	3.612	6140.650	3.051
86.444	6.673	82161.610	206.780	3.258	6458.710	3.044
86.793	6.713	84455.340	195.610	1.317	7223.780	2.574
86.970	6.733	83009.950	191.180	1.809	7313.420	2.647
87.319	6.773	81832.980	199.330	1.102	7300.250	2.475
87.711	6.813	79518.890	203.750	1.096	6940.390	2.308
87.951	6.833	79678.660	195.840	1.092	6873.020	2.201
88.213	6.853	81509.940	193.430	1.204	7053.170	2.075
89.039	6.893	80360.680	190.990	1.197	6909.740	1.877
89.852	6.933	70407.290	168.980	0.952	5735.165	1.717
